year,stage,input,output,invest
2055,proc,brine,loh,3
2055,proc,brine,lce,1
2055,proc,spod,loh,1
2055,proc,spod,lce,3
2055,proc,clay,loh,1
2055,proc,clay,lce,3
2056,proc,brine,loh,2
2056,proc,brine,lce,3
2056,proc,spod,loh,3
2056,proc,spod,lce,3
2056,proc,clay,loh,3
2056,proc,clay,lce,2
2057,proc,brine,loh,3
2057,proc,brine,lce,2
2057,proc,spod,loh,2
2057,proc,spod,lce,1
2057,proc,clay,loh,1
2057,proc,clay,lce,3
2058,proc,brine,loh,2
2058,proc,brine,lce,2
2058,proc,spod,loh,2
2058,proc,spod,lce,2
2058,proc,clay,loh,2
2058,proc,clay,lce,1
2059,proc,brine,loh,3
2059,proc,brine,lce,1
2059,proc,spod,loh,1
2059,proc,spod,lce,2
2059,proc,clay,loh,2
2059,proc,clay,lce,2
2060,proc,brine,loh,1
2060,proc,brine,lce,2
2060,proc,spod,loh,3
2060,proc,spod,lce,2
2060,proc,clay,loh,2
2060,proc,clay,lce,1
2061,proc,brine,loh,2
2061,proc,brine,lce,1
2061,proc,spod,loh,3
2061,proc,spod,lce,3
2061,proc,clay,loh,2
2061,proc,clay,lce,3
2062,proc,brine,loh,1
2062,proc,brine,lce,3
2062,proc,spod,loh,2
2062,proc,spod,lce,2
2062,proc,clay,loh,3
2062,proc,clay,lce,1
2063,proc,brine,loh,2
2063,proc,brine,lce,2
2063,proc,spod,loh,1
2063,proc,spod,lce,2
2063,proc,clay,loh,3
2063,proc,clay,lce,1
2064,proc,brine,loh,1
2064,proc,brine,lce,2
2064,proc,spod,loh,1
2064,proc,spod,lce,1
2064,proc,clay,loh,3
2064,proc,clay,lce,3
2065,proc,brine,loh,2
2065,proc,brine,lce,3
2065,proc,spod,loh,3
2065,proc,spod,lce,2
2065,proc,clay,loh,2
2065,proc,clay,lce,3
2066,proc,brine,loh,1
2066,proc,brine,lce,2
2066,proc,spod,loh,3
2066,proc,spod,lce,2
2066,proc,clay,loh,1
2066,proc,clay,lce,2
2067,proc,brine,loh,3
2067,proc,brine,lce,3
2067,proc,spod,loh,3
2067,proc,spod,lce,2
2067,proc,clay,loh,1
2067,proc,clay,lce,2
2068,proc,brine,loh,3
2068,proc,brine,lce,3
2068,proc,spod,loh,2
2068,proc,spod,lce,2
2068,proc,clay,loh,3
2068,proc,clay,lce,2
2069,proc,brine,loh,1
2069,proc,brine,lce,3
2069,proc,spod,loh,1
2069,proc,spod,lce,2
2069,proc,clay,loh,1
2069,proc,clay,lce,3
2070,proc,brine,loh,1
2070,proc,brine,lce,3
2070,proc,spod,loh,3
2070,proc,spod,lce,1
2070,proc,clay,loh,3
2070,proc,clay,lce,1
2071,proc,brine,loh,3
2071,proc,brine,lce,2
2071,proc,spod,loh,3
2071,proc,spod,lce,2
2071,proc,clay,loh,2
2071,proc,clay,lce,2
2072,proc,brine,loh,1
2072,proc,brine,lce,3
2072,proc,spod,loh,1
2072,proc,spod,lce,2
2072,proc,clay,loh,2
2072,proc,clay,lce,1
2073,proc,brine,loh,2
2073,proc,brine,lce,3
2073,proc,spod,loh,2
2073,proc,spod,lce,2
2073,proc,clay,loh,1
2073,proc,clay,lce,2
2074,proc,brine,loh,2
2074,proc,brine,lce,1
2074,proc,spod,loh,3
2074,proc,spod,lce,2
2074,proc,clay,loh,2
2074,proc,clay,lce,2
2075,proc,brine,loh,1
2075,proc,brine,lce,2
2075,proc,spod,loh,1
2075,proc,spod,lce,2
2075,proc,clay,loh,2
2075,proc,clay,lce,1
2076,proc,brine,loh,2
2076,proc,brine,lce,1
2076,proc,spod,loh,2
2076,proc,spod,lce,1
2076,proc,clay,loh,2
2076,proc,clay,lce,3
2077,proc,brine,loh,3
2077,proc,brine,lce,3
2077,proc,spod,loh,1
2077,proc,spod,lce,1
2077,proc,clay,loh,1
2077,proc,clay,lce,2
2078,proc,brine,loh,3
2078,proc,brine,lce,3
2078,proc,spod,loh,2
2078,proc,spod,lce,1
2078,proc,clay,loh,3
2078,proc,clay,lce,2
2079,proc,brine,loh,1
2079,proc,brine,lce,1
2079,proc,spod,loh,2
2079,proc,spod,lce,2
2079,proc,clay,loh,2
2079,proc,clay,lce,2
2080,proc,brine,loh,2
2080,proc,brine,lce,1
2080,proc,spod,loh,2
2080,proc,spod,lce,3
2080,proc,clay,loh,3
2080,proc,clay,lce,3
2081,proc,brine,loh,1
2081,proc,brine,lce,1
2081,proc,spod,loh,2
2081,proc,spod,lce,3
2081,proc,clay,loh,3
2081,proc,clay,lce,1
2082,proc,brine,loh,2
2082,proc,brine,lce,3
2082,proc,spod,loh,1
2082,proc,spod,lce,2
2082,proc,clay,loh,3
2082,proc,clay,lce,1
2083,proc,brine,loh,2
2083,proc,brine,lce,2
2083,proc,spod,loh,2
2083,proc,spod,lce,1
2083,proc,clay,loh,3
2083,proc,clay,lce,3
2084,proc,brine,loh,1
2084,proc,brine,lce,3
2084,proc,spod,loh,2
2084,proc,spod,lce,1
2084,proc,clay,loh,3
2084,proc,clay,lce,2
2085,proc,brine,loh,2
2085,proc,brine,lce,3
2085,proc,spod,loh,3
2085,proc,spod,lce,1
2085,proc,clay,loh,2
2085,proc,clay,lce,1
2086,proc,brine,loh,1
2086,proc,brine,lce,2
2086,proc,spod,loh,1
2086,proc,spod,lce,2
2086,proc,clay,loh,1
2086,proc,clay,lce,1
2087,proc,brine,loh,2
2087,proc,brine,lce,3
2087,proc,spod,loh,1
2087,proc,spod,lce,3
2087,proc,clay,loh,2
2087,proc,clay,lce,1
2088,proc,brine,loh,2
2088,proc,brine,lce,3
2088,proc,spod,loh,1
2088,proc,spod,lce,2
2088,proc,clay,loh,2
2088,proc,clay,lce,2
2089,proc,brine,loh,3
2089,proc,brine,lce,1
2089,proc,spod,loh,1
2089,proc,spod,lce,1
2089,proc,clay,loh,3
2089,proc,clay,lce,3
2090,proc,brine,loh,1
2090,proc,brine,lce,3
2090,proc,spod,loh,2
2090,proc,spod,lce,3
2090,proc,clay,loh,2
2090,proc,clay,lce,2
2091,proc,brine,loh,2
2091,proc,brine,lce,1
2091,proc,spod,loh,1
2091,proc,spod,lce,1
2091,proc,clay,loh,2
2091,proc,clay,lce,2
2092,proc,brine,loh,3
2092,proc,brine,lce,1
2092,proc,spod,loh,1
2092,proc,spod,lce,3
2092,proc,clay,loh,2
2092,proc,clay,lce,2
2093,proc,brine,loh,1
2093,proc,brine,lce,1
2093,proc,spod,loh,1
2093,proc,spod,lce,2
2093,proc,clay,loh,2
2093,proc,clay,lce,1
2094,proc,brine,loh,3
2094,proc,brine,lce,1
2094,proc,spod,loh,1
2094,proc,spod,lce,1
2094,proc,clay,loh,3
2094,proc,clay,lce,1
2095,proc,brine,loh,1
2095,proc,brine,lce,1
2095,proc,spod,loh,1
2095,proc,spod,lce,3
2095,proc,clay,loh,3
2095,proc,clay,lce,1
2096,proc,brine,loh,2
2096,proc,brine,lce,3
2096,proc,spod,loh,3
2096,proc,spod,lce,2
2096,proc,clay,loh,3
2096,proc,clay,lce,3
2097,proc,brine,loh,3
2097,proc,brine,lce,3
2097,proc,spod,loh,3
2097,proc,spod,lce,3
2097,proc,clay,loh,3
2097,proc,clay,lce,3
2098,proc,brine,loh,1
2098,proc,brine,lce,2
2098,proc,spod,loh,2
2098,proc,spod,lce,1
2098,proc,clay,loh,3
2098,proc,clay,lce,1
2099,proc,brine,loh,3
2099,proc,brine,lce,3
2099,proc,spod,loh,2
2099,proc,spod,lce,1
2099,proc,clay,loh,3
2099,proc,clay,lce,3
2100,proc,brine,loh,3
2100,proc,brine,lce,2
2100,proc,spod,loh,2
2100,proc,spod,lce,3
2100,proc,clay,loh,2
2100,proc,clay,lce,1
